case	baseline	cost	product_tv	minimax_error	abstain	correct_decl	lp_lower_bound	integer_upper_cost	optimality_gap
alternating_rectangle_2x2	exhaustive_oracle	0	0	1/2	0	1/2			
alternating_rectangle_2x2	full_matrix	8	0	1/2	0	1/2			
alternating_rectangle_2x2	random	8	0	1/2	0	1/2			
alternating_rectangle_2x2	greedy_test_cover	8	0	1/2	0	1/2			
alternating_rectangle_2x2	eig	8	0	1/2	0	1/2			
alternating_rectangle_2x2	chernoff	8	0	1/2	0	1/2			
alternating_rectangle_2x2	lm2r_heuristic	8	0	1/2	0	1/2			
alternating_rectangle_2x2	t2_integer_lp	8	0	1/2	0	1/2	2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/55000000000000000000000000000000000000000000000000000000001		
boundary	exhaustive_oracle	6	63/64	1/128	0	127/128			
boundary	full_matrix	8	255/256	1/512	0	511/512			
boundary	random	8	255/256	1/512	0	511/512			
boundary	greedy_test_cover	8	255/256	1/512	0	511/512			
boundary	eig	8	255/256	1/512	0	511/512			
boundary	chernoff	8	255/256	1/512	0	511/512			
boundary	lm2r_heuristic	8	255/256	1/512	0	511/512			
boundary	t2_integer_lp	1	1/2	1/4	0	3/4	500000000000000000000000000000000000000000000000000000000000/693147180559945309417232121458176568075500134360255254120697	1	193147180559945309417232121458176568075500134360255254120697/500000000000000000000000000000000000000000000000000000000000
cancellation_cycled	exhaustive_oracle	0	0	1/2	0	1/2			
cancellation_cycled	full_matrix	8	0	1/2	0	1/2			
cancellation_cycled	random	8	0	1/2	0	1/2			
cancellation_cycled	greedy_test_cover	8	0	1/2	0	1/2			
cancellation_cycled	eig	8	0	1/2	0	1/2			
cancellation_cycled	chernoff	8	0	1/2	0	1/2			
cancellation_cycled	lm2r_heuristic	8	0	1/2	0	1/2			
cancellation_cycled	t2_integer_lp	8	0	1/2	0	1/2	2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/50000000000000000000000000000000000000000000000000000000001		
exact_collision	exhaustive_oracle	0	0	1/2	0	1/2			
exact_collision	full_matrix	8	0	1/2	0	1/2			
exact_collision	random	8	0	1/2	0	1/2			
exact_collision	greedy_test_cover	8	0	1/2	0	1/2			
exact_collision	eig	8	0	1/2	0	1/2			
exact_collision	chernoff	8	0	1/2	0	1/2			
exact_collision	lm2r_heuristic	8	0	1/2	0	1/2			
exact_collision	t2_integer_lp	8	0	1/2	0	1/2	2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/50000000000000000000000000000000000000000000000000000000001		
near_collision	exhaustive_oracle	6	187686999250601/100000000000000000	99812313000749399/200000000000000000	0	100187686999250601/200000000000000000			
near_collision	full_matrix	8	437935747379206995993/200000000000000000000000	199562064252620793004007/400000000000000000000000	0	200437935747379206995993/400000000000000000000000			
near_collision	random	8	437935747379206995993/200000000000000000000000	199562064252620793004007/400000000000000000000000	0	200437935747379206995993/400000000000000000000000			
near_collision	greedy_test_cover	8	437935747379206995993/200000000000000000000000	199562064252620793004007/400000000000000000000000	0	200437935747379206995993/400000000000000000000000			
near_collision	eig	8	437935747379206995993/200000000000000000000000	199562064252620793004007/400000000000000000000000	0	200437935747379206995993/400000000000000000000000			
near_collision	chernoff	8	437935747379206995993/200000000000000000000000	199562064252620793004007/400000000000000000000000	0	200437935747379206995993/400000000000000000000000			
near_collision	lm2r_heuristic	8	437935747379206995993/200000000000000000000000	199562064252620793004007/400000000000000000000000	0	200437935747379206995993/400000000000000000000000			
near_collision	t2_integer_lp	8	437935747379206995993/200000000000000000000000	199562064252620793004007/400000000000000000000000	0	200437935747379206995993/400000000000000000000000	15625000000000000000000000000000000000000000000000000000000000000/15625023437552083470052477084536462163703044592056196264217	999999	7812528645917969007032059377627240880889011604208020735783/15625000000000000000000000000000000000000000000000000000000000000
no_cycle	exhaustive_oracle	1	1	0	0	1			
no_cycle	full_matrix	8	1	0	0	1			
no_cycle	random	8	1	0	0	1			
no_cycle	greedy_test_cover	8	1	0	0	1			
no_cycle	eig	8	1	0	0	1			
no_cycle	chernoff	8	1	0	0	1			
no_cycle	lm2r_heuristic	8	1	0	0	1			
no_cycle	t2_integer_lp	1	1	0	0	1	1/2000000	1	1999999
nondecomposable_3d	exhaustive_oracle	0	0	1/2	0	1/2			
nondecomposable_3d	full_matrix	8	0	1/2	0	1/2			
nondecomposable_3d	random	8	0	1/2	0	1/2			
nondecomposable_3d	greedy_test_cover	8	0	1/2	0	1/2			
nondecomposable_3d	eig	8	0	1/2	0	1/2			
nondecomposable_3d	chernoff	8	0	1/2	0	1/2			
nondecomposable_3d	lm2r_heuristic	8	0	1/2	0	1/2			
nondecomposable_3d	t2_integer_lp	8	0	1/2	0	1/2	2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/50000000000000000000000000000000000000000000000000000000001		
repeated_action	exhaustive_oracle	7	1759/2048	289/4096	0	3807/4096			
repeated_action	full_matrix	8	1759/2048	289/4096	0	3807/4096			
repeated_action	random	8	1759/2048	289/4096	0	3807/4096			
repeated_action	greedy_test_cover	8	1759/2048	289/4096	0	3807/4096			
repeated_action	eig	8	1759/2048	289/4096	0	3807/4096			
repeated_action	chernoff	8	1759/2048	289/4096	0	3807/4096			
repeated_action	lm2r_heuristic	8	1759/2048	289/4096	0	3807/4096			
repeated_action	t2_integer_lp	4	11/16	5/32	0	27/32	250000000000000000000000000000000000000000000000000000000000/71920518112945231859804751498456857875877427724440264126673	4	9420518112945231859804751498456857875877427724440264126673/62500000000000000000000000000000000000000000000000000000000
strict_positive_separation	exhaustive_oracle	1	1	0	0	1			
strict_positive_separation	full_matrix	8	1	0	0	1			
strict_positive_separation	random	8	1	0	0	1			
strict_positive_separation	greedy_test_cover	8	1	0	0	1			
strict_positive_separation	eig	8	1	0	0	1			
strict_positive_separation	chernoff	8	1	0	0	1			
strict_positive_separation	lm2r_heuristic	8	1	0	0	1			
strict_positive_separation	t2_integer_lp	1	1	0	0	1	1/2000000	1	1999999
symmetric_states	exhaustive_oracle	0	0	1/2	0	1/2			
symmetric_states	full_matrix	8	0	1/2	0	1/2			
symmetric_states	random	8	0	1/2	0	1/2			
symmetric_states	greedy_test_cover	8	0	1/2	0	1/2			
symmetric_states	eig	8	0	1/2	0	1/2			
symmetric_states	chernoff	8	0	1/2	0	1/2			
symmetric_states	lm2r_heuristic	8	0	1/2	0	1/2			
symmetric_states	t2_integer_lp	8	0	1/2	0	1/2	2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/50000000000000000000000000000000000000000000000000000000001		
zero_margin	exhaustive_oracle	0	0	1/2	0	1/2			
zero_margin	full_matrix	8	0	1/2	0	1/2			
zero_margin	random	8	0	1/2	0	1/2			
zero_margin	greedy_test_cover	8	0	1/2	0	1/2			
zero_margin	eig	8	0	1/2	0	1/2			
zero_margin	chernoff	8	0	1/2	0	1/2			
zero_margin	lm2r_heuristic	8	0	1/2	0	1/2			
zero_margin	t2_integer_lp	8	0	1/2	0	1/2	2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/50000000000000000000000000000000000000000000000000000000001		
